INSEE_COM;CLPE
01116;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01117;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01118;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01121;Haut Bugey Agglomération - Valserhône - Pays de Gex
01123;Grand Bourg Agglomération - Bresse - Veyle
01124;Grand Bourg Agglomération - Bresse - Veyle
01125;Grand Bourg Agglomération - Bresse - Veyle
01127;Grand Bourg Agglomération - Bresse - Veyle
01128;Grand Bourg Agglomération - Bresse - Veyle
01129;Dombes - Saône - Côtière
01130;Grand Bourg Agglomération - Bresse - Veyle
01133;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01134;Grand Bourg Agglomération - Bresse - Veyle
01135;Haut Bugey Agglomération - Valserhône - Pays de Gex
01136;Grand Bourg Agglomération - Bresse - Veyle
01138;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01139;Grand Bourg Agglomération - Bresse - Veyle
01140;Grand Bourg Agglomération - Bresse - Veyle
01141;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01142;Dombes - Saône - Côtière
01143;Haut Bugey Agglomération - Valserhône - Pays de Gex
01145;Grand Bourg Agglomération - Bresse - Veyle
01146;Dombes - Saône - Côtière
01147;Grand Bourg Agglomération - Bresse - Veyle
01148;Haut Bugey Agglomération - Valserhône - Pays de Gex
01149;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01150;Grand Bourg Agglomération - Bresse - Veyle
01151;Grand Bourg Agglomération - Bresse - Veyle
01152;Haut Bugey Agglomération - Valserhône - Pays de Gex
01153;Haut Bugey Agglomération - Valserhône - Pays de Gex
01155;Haut Bugey Agglomération - Valserhône - Pays de Gex
01156;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01157;Dombes - Saône - Côtière
01158;Haut Bugey Agglomération - Valserhône - Pays de Gex
01159;Grand Bourg Agglomération - Bresse - Veyle
01160;Haut Bugey Agglomération - Valserhône - Pays de Gex
01162;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01163;Grand Bourg Agglomération - Bresse - Veyle
01165;Dombes - Saône - Côtière
01166;Dombes - Saône - Côtière
01167;Dombes - Saône - Côtière
01169;Dombes - Saône - Côtière
01170;Haut Bugey Agglomération - Valserhône - Pays de Gex
01171;Haut Bugey Agglomération - Valserhône - Pays de Gex
01173;Haut Bugey Agglomération - Valserhône - Pays de Gex
01174;Haut Bugey Agglomération - Valserhône - Pays de Gex
